,Name,Position,teamAbbrev,Salary,AvgPointsPerGame
179,Spencer Hawes,PF/C,cha,3100.0,12.0
180,Jarell Martin,PF/C,mem,3000.0,18.0
181,Amir Johnson,PF/C,bos,3400.0,47.0
182,Tyler Ulis,PG,pho,3000.0,0.0
183,Rodney Hood,SG,uta,5800.0,36.75
184,Brook Lopez,C,bkn,6400.0,55.75
185,John Jenkins,SG,pho,3000.0,0.0
186,Pascal Siakam,PF,tor,3200.0,9.25
187,Wes Matthews,SG/SF,dal,5000.0,19.25
188,Tony Allen,SG,mem,3900.0,12.25
189,Chandler Parsons,SF,mem,6000.0,0.0
190,Cameron Payne,PG,okc,3000.0,0.0
191,Dante Cunningham,SF/PF,nor,3000.0,-0.5
192,Troy Williams,PF,mem,3000.0,0.0
193,Kyle Korver,SG,atl,3900.0,11.0
194,Frank Kaminsky,PF,cha,4000.0,23.75
195,Sam Dekker,SF,hou,3000.0,16.25
196,Maurice Harkless,SF,por,4000.0,26.25
197,Dirk Nowitzki,PF,dal,5700.0,16.75
198,K.J. McDaniels,SG,hou,3000.0,18.75
199,Jeremy Lin,PG,bkn,6700.0,18.0
200,Jose Calderon,PG,lal,3000.0,0.0
201,Jordan Clarkson,PG/SG,lal,5400.0,26.0
202,Quincy Pondexter,SF,nor,3000.0,0.0
203,Terry Rozier,PG,bos,3500.0,10.0
204,Kemba Walker,PG,cha,7500.0,36.5
205,Mike Scott,PF,atl,3000.0,0.0
206,Dwight Howard,C,atl,7600.0,49.25
207,Sasha Vujacic,SG,nyk,3000.0,5.5
208,D'Angelo Russell,PG,lal,6700.0,46.5
209,Devin Booker,SG,pho,6000.0,25.25
210,Wesley Johnson,SF,lac,3000.0,0.0
211,Mike Conley,PG,mem,6600.0,26.75
212,Damian Lillard,PG,por,9600.0,42.25
213,Nene Hilario,C,hou,3700.0,0.0
214,Festus Ezeli,C,por,3000.0,0.0
215,Fred VanVleet,PG,tor,3000.0,0.0
216,Harrison Barnes,SF,dal,5600.0,19.5
217,Ed Davis,C,por,3300.0,15.0
218,Jonas Valanciunas,C,tor,6800.0,22.75
219,Jerryd Bayless,PG,phi,4500.0,0.0
220,Ramon Sessions,PG,cha,3000.0,19.75
221,Marcelo Huertas,PG,lal,3000.0,0.0
222,Deyonta Davis,PF,mem,3000.0,0.0
223,Ivica Zubac,C,lal,3000.0,11.75
224,DeAndre Bembry,SF,atl,3000.0,0.0
225,Michael Gbinije,SF,det,3000.0,0.0
226,Christian Wood,PF,cha,3000.0,0.0
227,Trey Burke,PG,was,3000.0,-0.25
228,Raymond Felton,PG/SG,lac,3000.0,13.0
229,Darrun Hilliard,SG,det,3000.0,0.0
230,Terrence Jones,PF,nor,3600.0,23.75
231,Steven Adams,C,okc,6000.0,17.75
232,Caris LeVert,SF,bkn,3000.0,0.0
