['20161113', 'gsw', '-17']
['20161113', 'den', '+7½']
['20161113', 'por', '-7½']
['20161114', 'orl', '+8']
['20161114', 'ind', '-8']
['20161114', 'dal', '+4½']
['20161114', 'nyk', '-4½']
['20161114', 'okc', '-2']
['20161114', 'det', '+2']
['20161114', 'bos', '-4']
['20161114', 'nop', '+4']
['20161114', 'phi', '+11½']
['20161114', 'hou', '-11½']
['20161114', 'mia', '+11']
['20161114', 'sas', '-11']
['20161114', 'mem', '+6']
['20161114', 'uta', '-6']
['20161114', 'bkn', '+16½']
['20161114', 'lal', '-16½']
['20161115', 'tor', '+6']
['20161115', 'cle', '-6']
['20161115', 'atl', '-7']
['20161115', 'mia', '+7']
['20161115', 'cha', '-1']
['20161115', 'min', '+1']
['20161115', 'chi', '+4½']
['20161115', 'por', '-4½']
['20161115', 'bkn', '+7½']
['20161115', 'lac', '-7½']
['20161116', 'nop', '+7']
['20161116', 'orl', '-7']
['20161116', 'cle', '+2']
['20161116', 'ind', '-2']
['20161116', 'was', '-7']
['20161116', 'phi', '+7']
['20161116', 'mil', '+5']
['20161116', 'atl', '-5']
['20161116', 'det', '+2']
['20161116', 'nyk', '-2']
['20161116', 'dal', '+6½']
['20161116', 'bos', '-6½']
['20161116', 'gsw', '-6½']
['20161116', 'tor', '+6½']
['20161116', 'hou', '+2½']
['20161116', 'okc', '-2½']
['20161116', 'phx', '+4½']
['20161116', 'den', '-4½']
['20161116', 'sas', '-6']
['20161116', 'sac', '+6']
['20161116', 'mem', '+13']
['20161116', 'lal', '-13']
['20161117', 'nyk', '+5']
['20161117', 'was', '-5']
['20161117', 'mil', '+4']
['20161117', 'mia', '-4']
['20161117', 'por', '+5½']
['20161117', 'hou', '-5½']
['20161117', 'phi', '+12']
['20161117', 'min', '-12']
['20161117', 'chi', '+2½']
['20161117', 'uta', '-2½']
['20161118', 'atl', '+2']
['20161118', 'cha', '-2']
['20161118', 'phx', '+4']
['20161118', 'ind', '-4']
['20161118', 'det', '+9']
['20161118', 'cle', '-9']
['20161118', 'gsw', '-9']
['20161118', 'bos', '+9']
['20161118', 'por', '-1']
['20161118', 'nop', '+1']
['20161118', 'bkn', '+9½']
['20161118', 'okc', '-9½']
['20161118', 'mem', '-4']
['20161118', 'dal', '+4']
['20161118', 'tor', '-4']
['20161118', 'den', '+4']
['20161118', 'sas', '-8']
['20161118', 'lac', '+8']
['20161118', 'lal', '-9']
['20161118', 'sac', '+9']
['20161119', 'uta', '+6']
['20161119', 'hou', '-6']
['20161119', 'mia', '+4½']
['20161119', 'was', '-4½']
['20161119', 'bos', '+2']
['20161119', 'det', '-2']
['20161119', 'cha', '-2½']
['20161119', 'nop', '+2½']
['20161119', 'dal', '+7½']
['20161119', 'orl', '-7½']
['20161119', 'phx', '-2']
['20161119', 'phi', '+2']
['20161119', 'min', '-1½']
['20161119', 'mem', '+1½']
['20161119', 'gsw', '-9½']
['20161119', 'mil', '+9½']
['20161119', 'chi', '+8']
['20161119', 'lal', '-8']
['20161120', 'atl', '-4½']
['20161120', 'nyk', '+4½']
['20161120', 'por', '-4½']
['20161120', 'bkn', '+4½']
['20161120', 'ind', '+9½']
['20161120', 'okc', '-9½']
['20161120', 'tor', '-4']
['20161120', 'sac', '+4']
['20161120', 'uta', '+3½']
['20161120', 'den', '-3½']
['20161120', 'chi', '+2½']
['20161120', 'lac', '-2½']
['20161121', 'phx', '+7½']
['20161121', 'was', '-7½']
['20161121', 'mia', '-4½']
['20161121', 'phi', '+4½']
['20161121', 'gsw', '-15']
['20161121', 'ind', '+15']
['20161121', 'mem', '+5']
['20161121', 'cha', '-5']
['20161121', 'hou', '-3']
['20161121', 'det', '+3']
['20161121', 'bos', '-2']
['20161121', 'min', '+2']
['20161121', 'orl', '+7']
['20161121', 'mil', '-7']
['20161121', 'dal', '+14']
['20161121', 'sas', '-14']
['20161121', 'tor', '+9']
['20161121', 'lal', '-9']
['20161122', 'por', '+2']
['20161122', 'nyk', '-2']
['20161122', 'nop', '+8']
['20161122', 'atl', '-8']
['20161122', 'chi', '-2½']
['20161122', 'den', '+2½']
['20161122', 'okc', '-4']
['20161122', 'lac', '+4']
['20161123', 'phx', '+4½']
['20161123', 'orl', '-4½']
['20161123', 'mem', '-6½']
['20161123', 'phi', '+6½']
['20161123', 'sas', '-5½']
['20161123', 'cha', '+5½']
['20161123', 'atl', '-1½']
['20161123', 'ind', '+1½']
['20161123', 'por', '+11½']
['20161123', 'cle', '-11½']
['20161123', 'bos', '-7½']
['20161123', 'bkn', '+7½']
['20161123', 'mia', '+5']
['20161123', 'det', '-5']
['20161123', 'tor', '+4']
['20161123', 'hou', '-4']
['20161123', 'lal', '-10']
['20161123', 'dal', '+10']
['20161123', 'den', '+8']
['20161123', 'uta', '-8']
['20161123', 'min', '-2½']
['20161123', 'nop', '+2½']
['20161123', 'lac', '+18']
['20161123', 'gsw', '-18']
['20161123', 'okc', '+2']
['20161123', 'sac', '-2']
['20161125', 'sas', '-4']
['20161125', 'bos', '+4']
['20161125', 'was', '-2½']
['20161125', 'orl', '+2½']
['20161125', 'chi', '-9½']
['20161125', 'phi', '+9½']
['20161125', 'lal', '-7']
['20161125', 'det', '+7']
['20161125', 'dal', '+13½']
['20161125', 'cle', '-13½']
['20161125', 'cha', '-1½']
['20161125', 'nyk', '+1½']
['20161125', 'atl', '+3½']
['20161125', 'uta', '-3½']
['20161125', 'tor', '-3½']
['20161125', 'mil', '+3½']
['20161125', 'mia', '+5']
['20161125', 'mem', '-5']
['20161125', 'bkn', '+5½']
['20161125', 'ind', '-5½']
['20161125', 'okc', '-3']
['20161125', 'den', '+3']
['20161125', 'min', '-2½']
['20161125', 'phx', '+2½']
['20161125', 'nop', '+4']
['20161125', 'por', '-4']
['20161125', 'hou', '-3½']
['20161125', 'sac', '+3½']
['20161125', 'gsw', '-15']
['20161125', 'lac', '+15']
['20161126', 'nyk', '+5½']
['20161126', 'cha', '-5½']
['20161126', 'sas', '-6½']
['20161126', 'was', '+6½']
['20161126', 'mem', '-1½']
['20161126', 'mia', '+1½']
['20161126', 'det', '+5']
['20161126', 'okc', '-5']
['20161126', 'min', '+14']
['20161126', 'gsw', '-14']
['20161127', 'cle', '-11½']
['20161127', 'phi', '+11½']
['20161127', 'den', '+2½']
['20161127', 'phx', '-2½']
['20161127', 'sac', '-5']
['20161127', 'bkn', '+5']
['20161127', 'mil', '+1½']
['20161127', 'orl', '-1½']
['20161127', 'lal', '-12']
['20161127', 'ind', '+12']
['20161127', 'nop', '-5½']
['20161127', 'dal', '+5½']
['20161127', 'hou', '-2']
['20161127', 'por', '+2']
['20161127', 'atl', '-6']
['20161127', 'lac', '+6']
['20161128', 'sac', '+5']
['20161128', 'was', '-5']
['20161128', 'bos', '-4½']
['20161128', 'mia', '+4½']
['20161128', 'phi', '+15½']
['20161128', 'tor', '-15½']
['20161128', 'okc', '-1']
['20161128', 'nyk', '+1']
['20161128', 'cha', '-1½']
['20161128', 'mem', '+1½']
['20161128', 'uta', '-3½']
['20161128', 'min', '+3½']
['20161128', 'atl', '+14½']
['20161128', 'gsw', '-14½']
['20161129', 'det', '+4']
['20161129', 'cha', '-4']
['20161129', 'lal', '-11']
['20161129', 'bkn', '+11']
['20161129', 'cle', '-8']
['20161129', 'mil', '+8']
['20161129', 'lac', '+5½']
['20161129', 'nop', '-5½']
['20161129', 'orl', '+12½']
['20161129', 'sas', '-12½']
['20161129', 'hou', '-2']
['20161129', 'uta', '+2']
['20161130', 'mem', '+13½']
['20161130', 'tor', '-13½']
['20161130', 'det', '+6½']
['20161130', 'bos', '-6½']
['20161130', 'was', '+5½']
['20161130', 'okc', '-5½']
['20161130', 'lac', '+10½']
['20161130', 'chi', '-10½']
['20161130', 'nyk', '+4']
['20161130', 'min', '-4']
['20161130', 'sas', '-9']
['20161130', 'dal', '+9']
['20161130', 'mia', '+6½']
['20161130', 'den', '-6½']
['20161130', 'atl', '-4']
['20161130', 'phx', '+4']
['20161130', 'ind', '+7½']
['20161130', 'por', '-7½']
['20161130', 'sac', '-5']
['20161130', 'phi', '+5']
['20161201', 'dal', '+11½']
['20161201', 'cha', '-11½']
['20161201', 'mil', '-6']
['20161201', 'bkn', '+6']
['20161201', 'lal', '+4']
['20161201', 'cle', '-4']
['20161201', 'orl', '-3½']
['20161201', 'mem', '+3½']
['20161201', 'mia', '+7½']
['20161201', 'uta', '-7½']
['20161201', 'hou', '+11½']
['20161201', 'gsw', '-11½']
['20161202', 'orl', '+1']
['20161202', 'phi', '-1']
['20161202', 'lac', '+10']
['20161202', 'tor', '-10']
['20161202', 'sac', '+6']
['20161202', 'bos', '-6']
['20161202', 'min', '-2½']
['20161202', 'nyk', '+2½']
['20161202', 'det', '+1½']
['20161202', 'atl', '-1½']
['20161202', 'lal', '-4']
['20161202', 'nop', '+4']
['20161202', 'cle', '-3']
['20161202', 'chi', '+3']
['20161202', 'was', '+9']
['20161202', 'sas', '-9']
['20161202', 'hou', '+3½']
['20161202', 'den', '-3½']
['20161203', 'bkn', '+10']
['20161203', 'mil', '-10']
['20161203', 'min', '+6']
['20161203', 'cha', '-6']
['20161203', 'bos', '-10']
['20161203', 'phi', '+10']
['20161203', 'atl', '+8½']
['20161203', 'tor', '-8½']
['20161203', 'lac', '+2½']
['20161203', 'mem', '-2½']
['20161203', 'chi', '-4']
['20161203', 'dal', '+4']
['20161203', 'den', '+7½']
['20161203', 'uta', '-7½']
['20161203', 'mia', '+6']
['20161203', 'por', '-6']
['20161203', 'phx', '+17']
['20161203', 'gsw', '-17']
['20161204', 'orl', '+7½']
['20161204', 'det', '-7½']
['20161204', 'nop', '+6']
['20161204', 'okc', '-6']
['20161204', 'sac', '+2']
['20161204', 'nyk', '-2']
['20161204', 'ind', '+11½']
['20161204', 'lal', '-11½']
['20161205', 'den', '-4']
['20161205', 'phi', '+4']
['20161205', 'was', '-6½']
['20161205', 'bkn', '+6½']
['20161205', 'okc', '+4']
['20161205', 'atl', '-4']
['20161205', 'cle', 'PK-110']
['20161205', 'tor', 'PK-110']
['20161205', 'bos', '+5½']
['20161205', 'hou', '-5½']
['20161205', 'por', '+4']
['20161205', 'chi', '-4']
['20161205', 'mem', '+4½']
['20161205', 'nop', '-4½']
['20161205', 'sas', '-6']
['20161205', 'mil', '+6']
['20161205', 'cha', '-4']
['20161205', 'dal', '+4']
['20161205', 'uta', '-5']
['20161205', 'lac', '+5']
['20161205', 'ind', '+15½']
['20161205', 'gsw', '-15½']
['20161206', 'orl', '+3']
['20161206', 'was', '-3']
['20161206', 'nyk', 'PK-110']
['20161206', 'mia', 'PK-110']
['20161206', 'chi', '+5½']
['20161206', 'det', '-5½']
['20161206', 'sas', '-5']
['20161206', 'min', '+5']
['20161206', 'phi', '+7½']
['20161206', 'mem', '-7½']
['20161206', 'phx', '+7']
['20161206', 'uta', '-7']
['20161207', 'bos', '-2']
['20161207', 'orl', '+2']
['20161207', 'det', '+5½']
['20161207', 'cha', '-5½']
['20161207', 'den', '-4½']
['20161207', 'bkn', '+4½']
['20161207', 'mia', '+9']
['20161207', 'atl', '-9']
['20161207', 'por', '+2']
['20161207', 'mil', '-2']
['20161207', 'cle', '-8½']
['20161207', 'nyk', '+8½']
['20161207', 'lac', '+13½']
['20161207', 'hou', '-13½']
['20161207', 'sac', '-3½']
['20161207', 'dal', '+3½']
['20161207', 'ind', '-4½']
['20161207', 'phx', '+4½']
['20161207', 'gsw', '-5']
['20161207', 'lal', '+5']
['20161208', 'min', '+9½']
['20161208', 'tor', '-9½']
['20161208', 'den', '+6']
['20161208', 'was', '-6']
['20161208', 'por', '-2½']
['20161208', 'mem', '+2½']
['20161208', 'phi', '+6']
['20161208', 'nop', '-6']
['20161208', 'gsw', '-12']
['20161208', 'uta', '+12']
['20161208', 'sas', '-4']
['20161208', 'chi', '+4']
['20161209', 'orl', '+7']
['20161209', 'cha', '-7']
['20161209', 'tor', '+1']
['20161209', 'bos', '-1']
['20161209', 'mia', '+12½']
['20161209', 'cle', '-12½']
['20161209', 'det', '-3½']
['20161209', 'min', '+3½']
['20161209', 'hou', '-1½']
['20161209', 'okc', '+1½']
['20161209', 'atl', '+3½']
['20161209', 'mil', '-3½']
['20161209', 'ind', '-4']
['20161209', 'dal', '+4']
['20161209', 'nyk', '+5½']
['20161209', 'sac', '-5½']
['20161209', 'phx', '+2']
['20161209', 'lac', '-2']
['20161210', 'mil', '+4']
['20161210', 'was', '-4']
['20161210', 'por', '-1½']
['20161210', 'ind', '+1½']
['20161210', 'den', '-2']
['20161210', 'orl', '+2']
['20161210', 'cha', '+8']
['20161210', 'cle', '-8']
['20161210', 'mia', '+10']
['20161210', 'chi', '-10']
['20161210', 'dal', '+13']
['20161210', 'hou', '-13']
['20161210', 'gsw', '-13½']
['20161210', 'mem', '+13½']
['20161210', 'bkn', '+16']
['20161210', 'sas', '-16']
['20161210', 'sac', '+6½']
['20161210', 'uta', '-6½']
['20161210', 'nop', '+15']
['20161210', 'lal', '-15']
['20161211', 'phi', '+12']
['20161211', 'det', '-12']
['20161211', 'bos', '+3½']
['20161211', 'okc', '-3½']
['20161211', 'gsw', '-10½']
['20161211', 'min', '+10½']
['20161211', 'nop', '+2½']
['20161211', 'phx', '-2½']
['20161211', 'nyk', '-3']
['20161211', 'lac', '+3']
['20161212', 'cha', '-1½']
['20161212', 'ind', '+1½']
['20161212', 'was', '-1½']
['20161212', 'mia', '+1½']
['20161212', 'mil', '+8']
['20161212', 'tor', '-8']
['20161212', 'bkn', '+14']
['20161212', 'hou', '-14']
['20161212', 'den', '-2½']
['20161212', 'dal', '+2½']
['20161212', 'por', '+10']
['20161212', 'lal', '-10']
['20161212', 'lac', '+8½']
['20161212', 'sac', '-8½']
['20161213', 'mem', '+14']
['20161213', 'cle', '-14']
['20161213', 'orl', '+8½']
['20161213', 'atl', '-8½']
['20161213', 'gsw', '-11½']
['20161213', 'nop', '+11½']
['20161213', 'min', '+6']
['20161213', 'chi', '-6']
['20161213', 'nyk', '-2½']
['20161213', 'phx', '+2½']
['20161213', 'okc', '+2']
['20161213', 'por', '-2']
['20161214', 'cha', '-2']
['20161214', 'was', '+2']
['20161214', 'ind', '-1½']
['20161214', 'mia', '+1½']
['20161214', 'tor', '-8½']
['20161214', 'phi', '+8½']
['20161214', 'lal', '-8½']
['20161214', 'orl', '+8½']
['20161214', 'lac', '-1']
['20161214', 'bkn', '+1']
['20161214', 'cle', '+7½']
['20161214', 'mem', '-7½']
['20161214', 'sac', '+13½']
['20161214', 'hou', '-13½']
['20161214', 'det', '-6']
['20161214', 'dal', '+6']
['20161214', 'okc', '+7½']
